ID;Idade;Escolaridade;Frequencia;Horas;Conta;A1_VoltarTela;A2_ControleRepr;A3_DesfazerPlay;A4_CancelarAcao;A5_RespeitaConfig;B1_SemelhApps;B2_IconesEsperados;B3_LayoutConsist;B4_AcharAposUpd;B5_PrevisivBotoes;C1_SemAcidente;C2_ControlesPos;C3_SugestoesBusca;C4_AvisoPerda;C5_TocaRapido;D1_AcoesRapidas;D2_Recomendacoes;D3_GerirPlaylists;D4_AdaptaUso;D5_TelasLimpas;E1_SemDistracao;E2_InfoVisivel;E3_Estetica;E4_HomeRelevante
E01;25 a 34 anos;Ensino médio (completo ou cursando;Todos os dias (ou quase);De 5 a 10 horas;Premium (paga);1;1;2;2;1;3;3;2;3;4;5;5 ;5;5;5 ;5;2;3;1;3;2;1;2;1
E02;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 1 a 5 horas;Premium (paga);4;5 ;1;5;3;5;4;1;1;4;3;5 ;5;3;4;5;5;1;5;2;5;5;3;4
E03;18 a 24 anos;Ensino superior (cursando graduação);Algumas vezes por semana;De 5 a 10 horas;Premium (Pago);1;4;1;1;1;5;4;2;2;2;3;2;2;2;3;5;2;1;4;2;1;5;3;1
E04;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 1 a 5 horas;Premium (Pago);5 ;5 ;2;3;4;4;5;3;4;5 ;4;5 ;5;4;4;4;2;1;3;3;3;5;4;2
E05;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 1 a 5 horas;Premium (Pago);5 ;5 ;1;5;5;4;5;5;5;5 ;4;5 ;5;3;5 ;5;5;3;5;5 ;4;5;5;4
E06;18 a 24 anos;Ensino superior (cursando graduação);Algumas vezes por semana;De 1 a 5 horas;Premium (Pago);5 ;5 ;4;4;5;4;4;4;4;4;4;4;3;2;4;4;4;4;4;4;3;5;4;4
E07;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 10 a 20 horas;Premium (Pago);5 ;5 ;4;3;3;4;4;4;2;3;4;1;5;4;2;4;4;2;2;1;1;5;3;1
E08;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 5 a 10 horas;Premium (Pago);5 ;5 ;5 ;5;4;3;4;2;4;5 ;2;4;5;3;4;2;4;3;5;3;2;5;3;2
E09;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);Mais de 20 horas;Premium (Pago);5 ;5 ;5 ;5;5;5;5;5;5;5 ;5;5 ;5;5;5 ;5;5;5;5;5 ;5;5;5;5
E10;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 5 a 10 horas;Premium (Pago);5 ;5 ;5 ;5;4;3;5;5;5;5 ;3;4;2;2;4;5;4;5;3;4;5;5;5;5
E11;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 1 a 5 horas;Premium (Pago);4;5 ;1;3;4;4;5;4;3;5 ;3;3;1;3;4;1;4;3;2;3;5;5;4;1
E12;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 5 a 10 horas;Premium (Pago);4;4;1;3;5;5;5;5;4;5 ;4;5 ;5;1;5 ;5;1;5;5;3;4;5;5;3
E13;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 5 a 10 horas;Premium (Pago);4;5 ;2;3;2;4;4;2;4;4;4;3;1;2;3;3;5;4;4;1;2;4;2;1
E14;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 5 a 10 horas;Premium (Pago);4;4;2;2;4;4;4;2;4;3;3;3;3;3;2;4;2;2;4;3;3;4;3;3
E15;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 1 a 5 horas;Premium (Pago);4;5 ;5 ;5;2;5;5;5;5;5 ;5;5 ;5;5;5 ;5;2;5;5;4;4;5;5;4
E16;25 a 34 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 1 a 5 horas;Premium (Pago);5 ;5 ;4;5;5;5;5;5;5;5 ;4;3;3;5;5 ;5;4;5;5;5 ;5;5;5;5
E17;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);De 1 a 5 horas;Premium (Pago);3;5 ;5 ;4;5;5;5;5;4;5 ;5;5 ;4;2;4;4;2;5;5;3;5;4;5;4
E18;18 a 24 anos;Ensino superior (cursando graduação);Todos os dias (ou quase);Menos de 1 hora;Gratuita (Free);5 ;1;4;5;3;4;4;5;3;5 ;4;4;4;2;1;2;2;4;2;5 ;5;5;4;2
E19;18 a 24 anos;Ensino médio (completo ou cursando);Todos os dias (ou quase);De 5 a 10 horas;Premium (Pago);5 ;5 ;1;3;4;4;5;5;4;4;5;5 ;2;3;3;4;5;3;5;3;1;5;5;1
