se;entao;sup;conf;lift
D5_TelasLimpas=Baixo;E1_SemDistracao=Baixo;0.233;0.909;2.522
C4_AvisoPerda=Alto & E1_SemDistracao=Alto;E4_HomeRelevante=Alto;0.221;1.0;2.389
B3_LayoutConsist=Baixo;A3_DesfazerPlay=Baixo;0.209;0.857;2.234
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.291;0.893;2.133
A4_CancelarAcao=Alto & E1_SemDistracao=Alto;E4_HomeRelevante=Alto;0.291;0.893;2.133
D1_AcoesRapidas=Alto & E1_SemDistracao=Alto;E4_HomeRelevante=Alto;0.302;0.867;2.07
D4_AdaptaUso=Alto & E1_SemDistracao=Alto;E4_HomeRelevante=Alto;0.302;0.867;2.07
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.221;0.864;2.063
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.279;0.857;2.048
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.267;0.852;2.035
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;E4_HomeRelevante=Alto;0.256;0.846;2.021
D5_TelasLimpas=Baixo;E4_HomeRelevante=Baixo;0.209;0.818;2.01
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.302;0.839;2.004
D4_AdaptaUso=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.302;0.839;2.004
C1_SemAcidente=Alto & E1_SemDistracao=Alto;E4_HomeRelevante=Alto;0.233;0.833;1.991
D2_Recomendacoes=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.233;0.833;1.991
D2_Recomendacoes=Alto & E1_SemDistracao=Alto;E4_HomeRelevante=Alto;0.233;0.833;1.991
C3_SugestoesBusca=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.279;0.828;1.977
D3_GerirPlaylists=Alto & E1_SemDistracao=Alto;E4_HomeRelevante=Alto;0.267;0.821;1.962
E2_InfoVisivel=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.314;0.818;1.955
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.256;0.815;1.947
B2_IconesEsperados=Alto & E1_SemDistracao=Alto;E4_HomeRelevante=Alto;0.302;0.812;1.941
D1_AcoesRapidas=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.302;0.812;1.941
A4_CancelarAcao=Alto & D4_AdaptaUso=Alto;E4_HomeRelevante=Alto;0.291;0.806;1.927
E3_Estetica=Alto & E4_HomeRelevante=Alto;E1_SemDistracao=Alto;0.291;0.806;1.927
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.302;0.929;1.775
C4_AvisoPerda=Alto & E1_SemDistracao=Alto;D3_GerirPlaylists=Alto;0.209;0.947;1.771
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;B3_LayoutConsist=Alto;0.279;0.923;1.764
B2_IconesEsperados=Alto & E1_SemDistracao=Alto;B3_LayoutConsist=Alto;0.337;0.906;1.732
E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto & D4_AdaptaUso=Alto;0.337;0.806;1.732
C4_AvisoPerda=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.221;1.0;1.72
C1_SemAcidente=Alto & E1_SemDistracao=Alto;D3_GerirPlaylists=Alto;0.256;0.917;1.714
E1_SemDistracao=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.291;0.893;1.706
D3_GerirPlaylists=Alto & E1_SemDistracao=Alto;B3_LayoutConsist=Alto;0.291;0.893;1.706
B2_IconesEsperados=Alto & D3_GerirPlaylists=Alto;B3_LayoutConsist=Alto;0.384;0.892;1.705
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.233;0.909;1.7
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.279;0.889;1.699
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.279;0.889;1.699
B2_IconesEsperados=Alto & E3_Estetica=Alto;B3_LayoutConsist=Alto;0.465;0.889;1.699
B3_LayoutConsist=Alto;B2_IconesEsperados=Alto & E3_Estetica=Alto;0.465;0.889;1.699
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;B3_LayoutConsist=Alto;0.279;0.889;1.699
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;A4_CancelarAcao=Alto;0.267;0.885;1.691
C2_ControlesPos=Alto & E3_Estetica=Alto;D3_GerirPlaylists=Alto;0.209;0.9;1.683
C4_AvisoPerda=Alto & D2_Recomendacoes=Alto;D3_GerirPlaylists=Alto;0.209;0.9;1.683
A4_CancelarAcao=Alto & B4_AcharAposUpd=Alto;B3_LayoutConsist=Alto;0.326;0.875;1.672
E1_SemDistracao=Alto & E3_Estetica=Alto;B3_LayoutConsist=Alto;0.326;0.875;1.672
D2_Recomendacoes=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.244;0.875;1.672
D2_Recomendacoes=Alto & E1_SemDistracao=Alto;B3_LayoutConsist=Alto;0.244;0.875;1.672
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.314;0.871;1.665
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.279;0.889;1.662
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.279;0.889;1.662
C3_SugestoesBusca=Alto & E1_SemDistracao=Alto;B3_LayoutConsist=Alto;0.302;0.867;1.656
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;B3_LayoutConsist=Alto;0.221;0.864;1.651
C1_SemAcidente=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.256;0.88;1.645
