Bloco;Item;pct_alto;pct_baixo;net
H3_Controle;A3_DesfazerPlay;25.4;46.5;-21.1
H8_Estetica;E4_HomeRelevante;41.9;40.7;1.2
H8_Estetica;E1_SemDistracao;41.9;36.0;5.8
H7_Flexibilidade;D5_TelasLimpas;40.9;33.3;7.6
H5_PrevencaoErros;C2_ControlesPos;38.1;28.6;9.5
H5_PrevencaoErros;C4_AvisoPerda;44.2;31.4;12.8
H4_Consistencia;B5_PrevisivBotoes;45.1;27.5;17.6
H7_Flexibilidade;D2_Recomendacoes;50.0;31.4;18.6
H5_PrevencaoErros;C5_TocaRapido;48.2;28.6;19.6
H3_Controle;A2_ControleRepr;54.3;28.6;25.7
H4_Consistencia;B3_LayoutConsist;52.3;24.4;27.9
H5_PrevencaoErros;C1_SemAcidente;53.5;25.6;27.9
H7_Flexibilidade;D3_GerirPlaylists;53.5;24.4;29.1
H3_Controle;A4_CancelarAcao;52.3;15.1;37.2
H3_Controle;A1_VoltarTela;59.1;20.5;38.6
H4_Consistencia;B4_AcharAposUpd;55.8;16.3;39.5
H7_Flexibilidade;D4_AdaptaUso;58.1;15.1;43.0
H3_Controle;A5_RespeitaConfig;64.0;16.3;47.7
H5_PrevencaoErros;C3_SugestoesBusca;66.3;17.4;48.8
H8_Estetica;E3_Estetica;62.8;11.6;51.2
H7_Flexibilidade;D1_AcoesRapidas;67.4;14.0;53.5
H4_Consistencia;B1_SemelhApps;72.1;10.5;61.6
H4_Consistencia;B2_IconesEsperados;77.9;9.3;68.6
H8_Estetica;E2_InfoVisivel;82.6;7.0;75.6
