Item_A;Item_B;rho;p;p_bonferroni;sig_001;sig_005
C2_ControlesPos;D5_TelasLimpas;0.7660905340715544;2.3211363004537094e-11;6.406336189252238e-09;True;True
A1_VoltarTela;C5_TocaRapido;0.7112865368597308;5.036670130856405e-06;0.0013901209561163676;True;True
E1_SemDistracao;E4_HomeRelevante;0.6901425829262912;1.9758760058447058e-13;5.453417776131388e-11;True;True
B3_LayoutConsist;E3_Estetica;0.689852177583977;2.041206527887547e-13;5.63373001696963e-11;True;True
A2_ControleRepr;C5_TocaRapido;0.6781202073738668;0.00010150619874891443;0.028015710854700383;False;True
A2_ControleRepr;D4_AdaptaUso;0.6567592965093645;1.828243803131205e-05;0.005045952896642126;True;True
B4_AcharAposUpd;C2_ControlesPos;0.6405974907843225;1.5641736943585353e-08;4.317119396429558e-06;True;True
C2_ControlesPos;E1_SemDistracao;0.6321170920256127;2.7538176705558114e-08;7.600536770734039e-06;True;True
B3_LayoutConsist;B4_AcharAposUpd;0.6206412576622664;1.8403317609671386e-10;5.0793156602693026e-08;True;True
B2_IconesEsperados;B3_LayoutConsist;0.6092583677041175;4.821447429715535e-10;1.3307194906014875e-07;True;True
C5_TocaRapido;E1_SemDistracao;0.606737150622162;7.165273145845924e-07;0.0001977615388253475;True;True
E3_Estetica;E4_HomeRelevante;0.6006695652746409;9.726754325057082e-10;2.6845841937157545e-07;True;True
D5_TelasLimpas;E1_SemDistracao;0.5982146018868328;1.1306186474564688e-07;3.120507466979854e-05;True;True
A1_VoltarTela;A2_ControleRepr;0.5906718173707596;0.0023738192157352813;0.6551741035429376;False;False
B3_LayoutConsist;D3_GerirPlaylists;0.5880362475626922;2.6316612056485992e-09;7.263384927590134e-07;True;True
B5_PrevisivBotoes;C5_TocaRapido;0.582223365774546;0.00010095760459453756;0.027864298868092368;False;True
B3_LayoutConsist;C2_ControlesPos;0.5808546618837221;6.013249535820142e-07;0.00016596568718863592;True;True
D4_AdaptaUso;E4_HomeRelevante;0.576216776954706;6.429732777114823e-09;1.774606246483691e-06;True;True
D3_GerirPlaylists;D4_AdaptaUso;0.5734000271935062;7.914026819275768e-09;2.184271402120112e-06;True;True
B5_PrevisivBotoes;C2_ControlesPos;0.5689153434316044;6.87207227482522e-05;0.01896691947851761;False;True
E1_SemDistracao;E3_Estetica;0.5683163128013179;1.1456931520406037e-08;3.162113099632066e-06;True;True
